#順序,ID3f988a
#事象,ID30f7e4
#識別名,ID444daa
具体物,ID30f6ae
#抽象物,ID444e40
#もの,ID444d86 
#物事・ものごと,ID3d017c
#職業，肩書，役割で限定した人間,ID444df2
#人間または人間と似た振る舞いをする主体,ID3aa911
#組織,ID30f746
#人間の役割や立場,ID444758
#人の社会的属性,ID3f98cb
#状態, ID3aa963
#行為, ID30f83e
#数量, ID30f7aa
#情報媒体, ID30f780
#伝達内容, ID30f799
#場所, ID3aa938
#位置,ID30f751
#計量する,ID30f875
#時間点,ID3f9882
#時間,ID30f77b
#時,ID30f776
